2018-11-19 12:20:58.2935 DEBUG                   21|   AnonymousSafeObserver`1 |               OnNext | No trace listeners. 
2018-11-19 14:24:31.5432 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [Setup]: [4.13, 4.12, 4.11, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5, 4.2, 4.1, 4.0, 3.8, 3.7, 3.6, 3.5, 2.5, 2.1, 2.0, 1.3, 1.2, 1.1, 1.0] 
2018-11-19 14:24:31.5432 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [JobManagement]: [] 
2018-11-19 14:24:31.5432 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [OtherA]: [] 
2018-11-19 14:24:31.5432 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [13]: [] 
2018-11-19 14:24:35.3773 ERROR                   21|            CheckLoginStep |               DoStep | [172.16.1.139][1] CheckLogin failed KONICAMINOLTA.OpenAPISDK.CommonLibrary.SDKLibraryWebException: Невозможно соединиться с удаленным сервером ---> System.Net.Sockets.SocketException: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение 172.16.1.139:50003
2018-11-19 14:24:35.4252 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":5,"totalSteps":13,"messageId":"install_km_device_authentication_failed","parametersOfMessage":["Невозможно соединиться с удаленным сервером"],"finished":false,"severity":"ERROR","dateTime":"2018-11-19T14:24:35.4232799+02:00","features":[],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":"00:20:6B:3A:B9:0C"} 
2018-11-19 14:24:35.4584 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":5,"totalSteps":13,"messageId":"install_failed","parametersOfMessage":[],"finished":true,"severity":"ERROR","dateTime":"2018-11-19T14:24:35.4535166+02:00","features":[{"type":"SCAN","name":"","friendlyName":"","status":"FAILED","featureProperties":{}},{"type":"ACCOUNTING","name":"","friendlyName":"","status":"FAILED","featureProperties":{}},{"type":"AUTHENTICATION","name":"","friendlyName":"","status":"FAILED","featureProperties":{}},{"type":"APPLICATION","name":"","friendlyName":"","status":"FAILED","featureProperties":{}}],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":"00:20:6B:3A:B9:0C"} 
2018-11-19 14:24:35.4653 INFO                    21|          TerminalProvider |    InstallTerminal._ | [172.16.1.139][1] Terminal updated, started [19.11.2018 14:24:27] 
2018-11-19 14:24:39.1567 DEBUG                   21| onicaMinoltaVendorManager |        StartInternal | Konica Minolta plugin is running... 
2018-11-19 14:24:39.1567 DEBUG                   21|   ScanCollectorSupervisor |      UpdateCollector | [172.16.1.139][1] Updating scan collector with added/modified terminal. 
2018-11-19 14:24:39.1811 DEBUG                   21|         ScanCollectorBase |      TerminalUpdated | [172.16.1.139][1] Ensuring [1] scan folder existence in scan servers. 
2018-11-19 14:24:39.1869 DEBUG                   21|         ScanCollectorBase |      TerminalUpdated | Created destination folder [Samba\scan\1] 
2018-11-19 14:24:39.1869 DEBUG                   21|   PullAccountingScheduler |   OnNewTerminalAdded | [172.16.1.139][1] Registering terminal to puller. 
2018-11-19 14:24:39.2631 DEBUG                   21|   PullAccountingScheduler |   OnNewTerminalAdded | [172.16.1.139][1] There is no puller for the terminal. 
2018-11-19 14:24:39.2631 DEBUG                   21|   ScanCollectorSupervisor |      UpdateCollector | [172.16.1.139][1] Updating scan collector with added/modified terminal. 
2018-11-19 14:24:39.2631 DEBUG                   21|         ScanCollectorBase |      TerminalUpdated | [172.16.1.139][1] Ensuring [1] scan folder existence in scan servers. 
2018-11-19 14:24:39.2777 DEBUG                   21|         ScanCollectorBase |      TerminalUpdated | Created destination folder [Samba\scan\1] 
2018-11-19 14:24:39.2777 DEBUG                   21|   PullAccountingScheduler |    OnTerminalRemoved | [172.16.1.139][1] Removing terminal from puller. 
2018-11-19 14:24:39.2777 DEBUG                   21|   PullAccountingScheduler |    OnTerminalRemoved | [172.16.1.139][1] There is no puller for the terminal. 
2018-11-19 14:24:39.2777 DEBUG                   21|   ScanCollectorSupervisor |      UpdateCollector | [172.16.1.139][1] Updating scan collector with added/modified terminal. 
2018-11-19 14:24:39.2777 DEBUG                   21|         ScanCollectorBase |      TerminalUpdated | [172.16.1.139][1] Ensuring [1] scan folder existence in scan servers. 
2018-11-19 14:24:39.2777 DEBUG                   21|         ScanCollectorBase |      TerminalUpdated | Created destination folder [Samba\scan\1] 
2018-11-19 14:24:39.2777 DEBUG                   21|   PullAccountingScheduler |    OnTerminalRemoved | [172.16.1.139][1] Removing terminal from puller. 
2018-11-19 14:24:39.2777 DEBUG                   21|   PullAccountingScheduler |    OnTerminalRemoved | [172.16.1.139][1] There is no puller for the terminal. 
2018-11-19 14:25:55.5937 DEBUG                   21|              DS9BoxBase`1 |       TestConnection | Sending: 'PING.v1' 
2018-11-19 14:27:05.4706 INFO                    21|          CacheInterceptor | moveEntriesOlderThan | Starting cleaning cache 
2018-11-19 14:27:05.4706 INFO                    21|          CacheInterceptor | moveEntriesOlderThan | Cache cleaned 
2018-11-19 14:27:06.6409 DEBUG                   21|            CreditProvider | essPendigSettlements | No pending settlements, round [1] 
2018-11-19 14:27:20.0933 DEBUG                   21|               NetMQDS9Box |          InprocCheck | Testing inproc socket, round: [1], poller: [1] 
2018-11-19 14:27:21.0494 INFO                    21|               NetMQDS9Box |          InprocCheck | Box client sockets are working 
2018-11-19 14:27:28.1130 DEBUG                   21|   AnonymousSafeObserver`1 |               OnNext | No trace listeners. 
2018-11-19 14:28:38.6417 DEBUG                   21|       BaseTerminalManager |    StartInstallation | [172.16.1.139][1] Starting installation, steps: [TerminalSettingsCheckStep,IsOnlineInstallationStep,CheckRequiredHostedSitesStep,ConfigurationStep,CheckLoginStep,StoreFunctionLimitationSettingsStep,DisableAuthenticationStep,PrintInstallationStep,ScanInstallationStep,AuthenticationInstallationStep,RestoreFunctionLimitationSettingsStep,ConfigureDefaultPanelStep,FinalStep] 
2018-11-19 14:28:38.6574 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":1,"totalSteps":13,"messageId":"install_km_features_ok","parametersOfMessage":[],"finished":false,"severity":"INFO","dateTime":"2018-11-19T14:28:38.6554531+02:00","features":[],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":null} 
2018-11-19 14:28:38.6574 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":2,"totalSteps":13,"messageId":"xerox_installation_online","parametersOfMessage":[],"finished":false,"severity":"INFO","dateTime":"2018-11-19T14:28:38.6622918+02:00","features":[],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":null} 
2018-11-19 14:28:38.6574 INFO                    21|  IsOnlineInstallationStep |               DoStep | [172.16.1.139][1] Terminal is online. 
2018-11-19 14:28:38.6574 DEBUG                   21| ckRequiredHostedSitesStep |               DoStep | [172.16.1.139][1] All required sites are running, testing access. 
2018-11-19 14:28:38.6574 DEBUG                   21| ckRequiredHostedSitesStep |               DoStep | [172.16.1.139][1] All required sites are running correctly. 
2018-11-19 14:28:38.6574 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":3,"totalSteps":13,"messageId":"installation_sites_ok","parametersOfMessage":[],"finished":false,"severity":"INFO","dateTime":"2018-11-19T14:28:38.6681904+02:00","features":[],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":null} 
2018-11-19 14:28:38.6574 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":4,"totalSteps":13,"messageId":"install_km_device_configure","parametersOfMessage":[],"finished":false,"severity":"INFO","dateTime":"2018-11-19T14:28:38.6691260+02:00","features":[],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":null} 
2018-11-19 14:28:38.6574 DEBUG                   21|    MfpConfigurationSource |  GetMfpConfiguration | [172.16.1.139][1] Getting device description... 
2018-11-19 14:28:38.9025 DEBUG                   21|    MfpConfigurationSource |  GetMfpConfiguration | [172.16.1.139][1] Device description got. 
2018-11-19 14:28:38.9025 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Address [172.16.1.139] 
2018-11-19 14:28:38.9025 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Request timeout [00:00:25] 
2018-11-19 14:28:38.9025 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] MAC address [00:20:6B:3A:B9:0C] 
